"x" "y"
-0.20279554463923 0
-0.828337627928704 0
0.0168413766659796 1
0.373403122648597 1
-0.184950172901154 0
0.0639463323168457 1
-0.651499922852963 0
0.326678637880832 1
0.0418353793211281 1
0.0493202139623463 1
0.291903547476977 1
-0.0456538898870349 0
0.785227290354669 1
-0.452988085802644 0
-0.587210616562515 0
0.0676867538131773 1
0.361765836831182 1
0.15401446679607 1
0.578725170344114 1
-0.139925411436707 0
-0.490576405543834 0
-0.339526527095586 0
-0.653429017402232 0
0.0248177880421281 1
-0.901149872224778 0
-0.671560249757022 0
-0.994500319007784 0
0.376042695250362 1
0.0169246238656342 1
0.958586607594043 1
