"x1" "x2" "y"
0.0149564063176513 0.0711940755136311 0
-0.386462987866253 -0.813823740929365 1
-0.146184667013586 -0.660393917001784 1
0.386204161681235 0.799664901569486 0
-0.829728062264621 -0.154724786058068 1
-0.549126767087728 0.495492935646325 1
-0.450938954018056 0.645305159967393 0
-0.455389867536724 0.909307292662561 0
0.231658615637571 0.370889018755406 0
-0.140656949020922 0.00100645935162902 1
0.303311333991587 -0.449032275006175 1
0.135475505143404 -0.542192110326141 1
-0.772982035763562 -0.971132188104093 1
0.191850610543042 0.457929125055671 0
-0.28390004998073 -0.500239056535065 1
-0.142381163313985 -0.677633446641266 1
-0.896193355787545 -0.965914699714631 1
-0.471644665114582 -0.0277993096970022 1
-0.202418538276106 -0.794199656229466 1
0.672268286813051 0.603094009216875 0
0.729442451614887 -0.291343870107085 0
0.230704833753407 0.872865078505129 0
0.550219792872667 -0.508267215453088 0
-0.28886261722073 -0.0537170772440732 1
-0.188300055917352 -0.616878257598728 1
0.413293827790767 0.166443939786404 0
0.676575330551714 -0.0810536202043295 0
-0.520821737591177 -0.065131904091686 1
0.541543066501617 -0.200334888882935 0
-0.288204511161894 0.010571192484349 1
